id,label,sex,type,type_detail,age,birth,education,education_background,background,party,state,function,health_sector,health_category
7000eichen,7000Eichen,99,2,3,99,99,99,99,99,99,99,99,2,99
absatzfoerderungsfond,AbsatzfoerderungsfondsderdeutschenLand-undErnaehrungswirtschaft,99,2,4,99,99,99,99,99,99,99,99,2,99
aktionpsychischkranke,AktionPsychischKrankee.V.(APK),99,2,3,99,99,99,99,99,99,99,99,1,4
aktionsbuendnisschmerzfreiestadtmuenster,AktionbuendnisSchmerzfreieStadtMünster,99,2,3,99,99,99,99,99,99,99,99,1,4
akzo,FirmaAKZO,99,2,2,99,99,99,99,99,99,99,99,2,99
alfa,AktionLebensrechtfürAlle(AlfA),99,2,3,99,99,99,99,99,99,99,99,1,5
apkv,AllianzPrivateKrankenversicherung,99,2,2,99,99,99,99,99,99,99,99,1,5
archenoah,ArcheNoah-FoerdervereinBetreutesWohnendauerbeatmeterKindere.V.,99,2,3,99,99,99,99,99,99,99,99,1,5
aupu,AUPUVersorgungswerke.V.,99,2,3,99,99,99,99,99,99,99,99,2,99
ausschussarbeitsoziales,AusschussfuerArbeitundSoziales,99,2,4,99,99,99,99,99,99,99,99,2,99
ausschussentwicklung,AusschussfuerwirtschaftlicheZusammenarbeitundEntwicklung,99,2,4,99,99,99,99,99,99,99,99,2,99
ausschussernaehrunglandwirtschaft,AusschussfuerErnaehrungundLandwirtschaft,99,2,4,99,99,99,99,99,99,99,99,2,99
ausschussfuerkulturundmedien,AusschussfuerKulturundMedien,99,2,4,99,99,99,99,99,99,99,99,1,5
ausschusstourismus,AusschussfuerTourismus,99,2,4,99,99,99,99,99,99,99,99,2,99
auswaertigekulturundbildungspolitik,AuswaertigeKultur-undBildungspolitik,99,2,4,99,99,99,99,99,99,99,99,1,5
auswaertigerausschuss,AuswaertigerAusschuss,99,2,4,99,99,99,99,99,99,99,99,1,5
awo,ArbeiterwohlfahrtBundesverband,99,2,3,99,99,99,99,99,99,99,99,2,99
awobetreuungsvereinaltenkirchen,AWOBetreuungsvereinAltenkirchen,99,2,3,99,99,99,99,99,99,99,99,2,99
awomittelrhein,AWOBezirksverbandMittelrheine.V.,99,2,3,99,99,99,99,99,99,99,99,2,99
aworheinerft,AWORegionalverbandRhein-ErftKreis&Euskirchene.V.,99,2,3,99,99,99,99,99,99,99,99,2,99
baetzing,SabineBaetzing,1,1,99,3,5,5,5,2,2,11,3,99,99
bafin,Bundes­­anstaltfuerFinanz­dienst­leistungsaufsicht,99,2,4,99,99,99,99,99,99,99,99,2,99
bahr,DanielBahr,2,1,99,3,5,7,1,1,5,10,1,99,99
basf,BASF,99,2,2,99,99,99,99,99,99,99,99,1,1
bayerischesroteskreuz,BayerischesRotesKreuzKreisverbandRosenheim,99,2,3,99,99,99,99,99,99,99,99,1,4
bayrischelandeszentrale,BayrischeLandeszentralefuerneueMedien,99,2,3,99,99,99,99,99,99,99,99,2,99
bayrischerbauernverband,BayrischerBauernverband,99,2,3,99,99,99,99,99,99,99,99,2,99
bayrischeversicherungskammer,BayrischeVersicherungskammer,99,2,3,99,99,99,99,99,99,99,99,2,99
bdew,BundesverbandderEnergie-undWasserwirtschafte.V.,99,2,3,99,99,99,99,99,99,99,99,2,99
bertelsmannstiftung,BertelsmannStiftung,99,2,5,99,99,99,99,99,99,99,99,1,4
bildungsausschuss,AusschussfuerBildungForschungundTechnikfolgenabschaetzung,99,2,4,99,99,99,99,99,99,99,99,2,99
bkf,BundesverbandkonduktiveFoerderungnachPetoe,99,2,3,99,99,99,99,99,99,99,99,1,4
bmf,BundesministeriumfuerFinanzen,99,2,4,99,99,99,99,99,99,99,99,2,99
bmg,Bundesgesundheitsministerium,99,2,4,99,99,99,99,99,99,99,99,1,5
bmwi,BundesministeriumfuerWirtschaft,99,2,4,99,99,99,99,99,99,99,99,2,99
bnev,BundesverbandNieree.V.,99,2,3,99,99,99,99,99,99,99,99,1,4
brainloop,Brainloop,99,2,2,99,99,99,99,99,99,99,99,2,99
bundesfachausschussfuergesundheit,BundesfachausschussfuerGesundheit,99,2,4,99,99,99,99,99,99,99,99,1,5
